,con_0bk,roi-007,roi-018,roi-022,roi-153,roi-154,roi-160,roi-163,roi-187,roi-198,roi-202,roi-333,roi-334,roi-340,roi-343,sub
11,tool,5.6846935098821465,3.659434364441581,6.650881461799145,-1.5991941916942596,3.7248049878305003,0.5805399954288958,3.517495150137849,7.903513666409165,3.991515167798215,6.744055132712087,0.7251809578720886,5.449018525988309,1.826557004686307,3.332605734451854,209228
12,face,4.155986609840483,3.9941311068832874,5.657126615289599,-0.428497443459928,3.5534595972107303,0.9082688639361051,2.184965752487799,5.677791492262883,5.126545242268091,7.302084878567727,-0.00920343295772477,2.0930375275549604,-0.14562288993670616,2.394762192422352,220721
13,place,5.414402941411192,2.888054469235342,6.475389681756496,1.442347566363557,6.223611267343644,3.2187535935832607,5.038945131943006,8.594596114621234,3.8296402471455915,7.510867407245021,1.7069216895996049,8.172513595935124,6.138121753563116,5.587843572392183,220721
14,tool,5.108859370829481,3.631326627237974,7.967266444116831,-0.9709037206570308,4.210428350394772,0.029457249152924744,4.751410722356884,8.216032608231501,3.6276064658896967,9.753983093846228,0.6174164692511653,5.890169472725534,1.5116136669192786,4.63648535398876,220721
15,face,3.156868804810625,4.962722375397445,6.018505785614252,0.6753763853386044,2.2961165409895683,0.5581055524488611,2.135794505163902,3.5213453129156314,4.527280391831147,3.9774018681097414,-1.9710034449944402,-0.16752353754353277,-1.6740802484621973,1.4577007608316024,298455
16,place,5.952541699915221,3.0040623468120358,5.252391425427049,0.6552038855105639,5.608439718523333,4.768157956100279,3.4363723724333086,5.382346532682874,1.6082884219527172,1.1217274776990376,-0.8003849274303654,3.8070828434524695,2.7240800234822578,2.836658348806766,298455
17,tool,6.588609926628344,4.111432767699699,4.535074266605079,0.09356637834260861,4.110178526370756,2.4479573186967643,3.631186541889896,6.830712799705676,2.9589791513342214,3.6722688672523343,1.179872987884106,5.26690907620672,3.0252109043024205,3.462079272425475,298455
18,face,5.020352523435246,4.535440184780069,5.68220962677151,0.810870531052351,2.307687064392432,0.23016764091387873,3.9128612187229286,6.326829886369741,5.313691413694481,8.414323029979583,0.5473887979981978,2.007869375105113,0.9342982807242668,4.376764015975494,356948
19,place,7.268457199587966,1.1264582896358144,4.9346232761163265,2.1250210186342398,5.2914438549309,2.4308821157582345,3.713430520209695,6.996855709090162,1.812076540870799,4.041270903972609,2.2055058108993095,3.657375882810621,5.921475507594921,1.7892818571764881,356948
20,tool,5.76011568849737,1.2882579870874415,4.164763169354046,1.6635752051075299,3.875453031351489,0.759218841543301,2.898797862090859,5.930292311889022,1.5227249688142093,2.4271441611025724,0.8323864358486516,3.602468252182007,3.2605893472094594,1.7150176115365339,356948
21,face,4.255301758646965,4.05197014673202,7.111297212541103,-0.7026241052150727,0.8791297408001076,-1.624564372483761,3.8495244703748646,5.0178451008761105,6.789041374510492,7.998965197993863,0.2938130423380523,1.0784230317447836,0.5753419390063227,2.6282470661583317,419239
22,place,6.286624348524845,1.760753889340039,6.449808394536376,-0.8457159588734309,2.9913048228068697,-0.1612319225265134,2.2445830444202706,4.315053643130544,2.1799413252360464,2.9231373154588285,-0.006480689206630877,2.230050965921203,2.308922946591068,2.9662699214957593,419239
23,tool,5.5688323414686955,3.166835055762046,7.7166360933333635,-2.043081043312947,1.047298403276551,-1.0876897056737254,4.111403044180146,2.9510082523547,2.3465352196093887,5.156073401531866,-0.682689158116827,1.8673121792111378,0.14333738406177288,2.895769899100566,419239
