,Activation,ROI,Contrast
0,1.077607146501541,roi26,EMOTION_SHAPES
1,0.49154934645319986,roi26,EMOTION_SHAPES
2,0.5720634479157161,roi26,EMOTION_SHAPES
3,-0.3340311412536539,roi26,EMOTION_SHAPES
4,0.09703247623362889,roi26,EMOTION_SHAPES
5,-0.6705932252931719,roi26,EMOTION_SHAPES
6,1.1102233933160703,roi26,EMOTION_SHAPES
7,0.5650605827476829,roi26,EMOTION_SHAPES
8,0.6735407609989246,roi26,EMOTION_SHAPES
9,-1.1883105612297853,roi26,EMOTION_SHAPES
10,0.2649027948655809,roi26,EMOTION_SHAPES
11,-1.2518594497876863,roi26,EMOTION_SHAPES
12,-1.1016269527003169,roi26,EMOTION_SHAPES
13,-0.5950008407250668,roi26,EMOTION_SHAPES
14,-0.14138682199952504,roi26,EMOTION_SHAPES
15,-0.032454645119917885,roi26,EMOTION_SHAPES
16,-0.7756968657920756,roi26,EMOTION_SHAPES
17,-0.7764569934364408,roi26,EMOTION_SHAPES
18,2.280012573323523,roi26,EMOTION_SHAPES
19,-0.22354147833927224,roi26,EMOTION_SHAPES
20,-1.493303378702452,roi26,EMOTION_SHAPES
21,0.11465238883470497,roi26,EMOTION_SHAPES
22,-1.8027162985503675,roi26,EMOTION_SHAPES
23,1.1237581946700812,roi26,EMOTION_SHAPES
24,-1.60494927333047,roi26,EMOTION_SHAPES
25,1.4688384503506435,roi26,EMOTION_SHAPES
26,-1.5466917526861652,roi26,EMOTION_SHAPES
27,-0.7071615241239002,roi26,EMOTION_SHAPES
28,-0.6892296913762888,roi26,EMOTION_SHAPES
29,0.2906320628648003,roi26,EMOTION_SHAPES
30,-0.6572805950045586,roi26,EMOTION_SHAPES
31,0.03527864734331767,roi26,EMOTION_SHAPES
32,-0.9523405289106691,roi26,EMOTION_SHAPES
33,-1.559541271412745,roi26,EMOTION_SHAPES
34,-0.26686337220792966,roi26,EMOTION_SHAPES
35,-0.7051777735725046,roi26,EMOTION_SHAPES
36,-0.0738885155071815,roi26,EMOTION_SHAPES
37,-0.6875427729915827,roi26,EMOTION_SHAPES
38,-0.19707231467589736,roi26,EMOTION_SHAPES
39,1.2665359051028888,roi26,EMOTION_SHAPES
40,0.02980856741468112,roi26,EMOTION_SHAPES
41,1.8845890951094528,roi26,EMOTION_SHAPES
42,-0.12869448468089104,roi26,EMOTION_SHAPES
43,0.2975016778583328,roi26,EMOTION_SHAPES
44,0.05362124388416608,roi26,EMOTION_SHAPES
45,1.3320097064288952,roi26,EMOTION_SHAPES
46,-1.13460936019818,roi26,EMOTION_SHAPES
47,-0.6574283444819351,roi26,EMOTION_SHAPES
48,-0.5840375159494579,roi26,EMOTION_SHAPES
49,-0.22694137466450529,roi26,EMOTION_SHAPES
50,0.06373473686476548,roi26,EMOTION_SHAPES
51,-1.1042227183282376,roi26,EMOTION_SHAPES
52,-0.0454610388353467,roi26,EMOTION_SHAPES
53,0.13816400372733673,roi26,EMOTION_SHAPES
54,-0.28175580797096095,roi26,EMOTION_SHAPES
55,0.661793636030828,roi26,EMOTION_SHAPES
56,0.21597279652953144,roi26,EMOTION_SHAPES
57,0.2947385752076904,roi26,EMOTION_SHAPES
58,1.4410869030778604,roi26,EMOTION_SHAPES
59,-0.2901912669511512,roi26,EMOTION_SHAPES
60,0.6879423971660436,roi26,EMOTION_SHAPES
61,-0.446521018743515,roi26,EMOTION_SHAPES
62,-0.3502507692187404,roi26,EMOTION_SHAPES
63,-0.17263579128310083,roi26,EMOTION_SHAPES
64,-0.32988944205145043,roi26,EMOTION_SHAPES
65,0.5755283671912427,roi26,EMOTION_SHAPES
66,-0.47375331907843543,roi26,EMOTION_SHAPES
67,0.2883739905292168,roi26,EMOTION_SHAPES
68,1.2089853912591935,roi26,EMOTION_SHAPES
69,-0.08266966926554839,roi26,EMOTION_SHAPES
70,-0.3422392643367251,roi26,EMOTION_SHAPES
71,-0.9496297071656834,roi26,EMOTION_SHAPES
72,-9.901989872256915e-05,roi26,EMOTION_SHAPES
73,-0.13356005180006225,roi26,EMOTION_SHAPES
74,0.6800142765293519,roi26,EMOTION_SHAPES
75,-0.38875276816387966,roi26,EMOTION_SHAPES
76,-1.87787853812178,roi26,EMOTION_SHAPES
77,-0.7056897510588169,roi26,EMOTION_SHAPES
78,-1.3842454744999608,roi26,EMOTION_SHAPES
79,0.8346072863042353,roi26,EMOTION_SHAPES
80,2.2949871873731413,roi26,EMOTION_SHAPES
81,-2.0398016794522604,roi26,EMOTION_SHAPES
82,-0.009114222538967928,roi26,EMOTION_SHAPES
83,-1.0927882303650647,roi26,EMOTION_SHAPES
84,1.7416834822879173,roi26,EMOTION_SHAPES
85,-0.3293015330874672,roi26,EMOTION_SHAPES
86,-0.5606725442828611,roi26,EMOTION_SHAPES
87,-1.2333328086882829,roi26,EMOTION_SHAPES
88,0.845452170430993,roi26,EMOTION_SHAPES
89,-0.6202193363911161,roi26,EMOTION_SHAPES
90,-1.3198574644202987,roi26,EMOTION_SHAPES
91,0.8743450826716919,roi26,EMOTION_SHAPES
92,0.16781692435111228,roi26,EMOTION_SHAPES
93,-1.5947337256620329,roi26,EMOTION_SHAPES
94,1.1020321232080459,roi26,EMOTION_SHAPES
95,-1.643958952622488,roi26,EMOTION_SHAPES
96,-0.3771915844020744,roi26,EMOTION_SHAPES
97,-0.831368469602118,roi26,EMOTION_SHAPES
98,-1.4034528044983745,roi26,EMOTION_SHAPES
99,-1.669252187029148,roi26,EMOTION_SHAPES
100,-0.5360243411486347,roi26,EMOTION_SHAPES
101,0.19588584163226183,roi26,EMOTION_SHAPES
102,-0.15028695744462311,roi26,EMOTION_SHAPES
103,0.022008920248287416,roi26,EMOTION_SHAPES
104,0.8943527979124337,roi26,EMOTION_SHAPES
105,0.8661644278559834,roi26,EMOTION_SHAPES
106,-0.8667966985888778,roi26,EMOTION_SHAPES
107,-1.5146420790875952,roi26,EMOTION_SHAPES
108,-0.058854173909251885,roi26,EMOTION_SHAPES
109,-0.5368217166761556,roi26,EMOTION_SHAPES
110,-0.5502334713563323,roi26,EMOTION_SHAPES
111,0.6174913930644592,roi26,EMOTION_SHAPES
112,-1.3279276752859974,roi26,EMOTION_SHAPES
113,0.24054420971622073,roi26,EMOTION_SHAPES
114,-0.8692620578113321,roi26,EMOTION_SHAPES
115,0.5676279125300545,roi26,EMOTION_SHAPES
116,-0.4150921699109797,roi26,EMOTION_SHAPES
117,-0.7375044445072612,roi26,EMOTION_SHAPES
118,1.8157040499647457,roi26,EMOTION_SHAPES
119,0.20240793139567057,roi26,EMOTION_SHAPES
120,-0.5923199375563611,roi26,EMOTION_SHAPES
121,0.36949963187177975,roi26,EMOTION_SHAPES
122,-0.0026430932991206644,roi26,EMOTION_SHAPES
123,-0.2026256908134868,roi26,EMOTION_SHAPES
124,-0.21725253236092007,roi26,EMOTION_SHAPES
125,-0.6093606256941955,roi26,EMOTION_SHAPES
126,-1.1671539158125719,roi26,EMOTION_SHAPES
