
 Mean for ROI 4, contrast 14 is -0.130317, st dev is  0.880048
 Mean for ROI 4, contrast 15 is -0.383471, st dev is  1.016875
 Mean for ROI 4, contrast 16 is 0.861469, st dev is  0.986170
 Mean for ROI 4, contrast 17 is 1.149178, st dev is  1.220219
 Mean for ROI 4, contrast 18 is 0.068510, st dev is  0.935281
 Mean for ROI 4, contrast 19 is -0.207701, st dev is  0.862740
 Mean for ROI 5, contrast 0 is 1.064419, st dev is  1.991849
 Mean for ROI 5, contrast 1 is 0.104395, st dev is  1.463036
 Mean for ROI 5, contrast 2 is 0.597013, st dev is  1.530246
 Mean for ROI 5, contrast 3 is 0.506859, st dev is  1.589957
 Mean for ROI 5, contrast 4 is 0.447742, st dev is  1.306148
 Mean for ROI 5, contrast 5 is 0.315564, st dev is  1.528992
 Mean for ROI 5, contrast 6 is 0.348682, st dev is  1.161374
 Mean for ROI 5, contrast 7 is 0.454574, st dev is  1.241749
 Mean for ROI 5, contrast 8 is 2.205010, st dev is  1.093843
 Mean for ROI 5, contrast 9 is 0.955025, st dev is  1.136205
 Mean for ROI 5, contrast 10 is -0.100855, st dev is  0.980128
 Mean for ROI 5, contrast 11 is 0.845457, st dev is  1.046253
 Mean for ROI 5, contrast 12 is 0.545126, st dev is  1.020849
 Mean for ROI 5, contrast 13 is 0.916638, st dev is  1.126870
 Mean for ROI 5, contrast 14 is -0.531279, st dev is  0.936906
 Mean for ROI 5, contrast 15 is -1.437567, st dev is  0.931393
 Mean for ROI 5, contrast 16 is 0.396235, st dev is  1.015861
 Mean for ROI 5, contrast 17 is 0.227415, st dev is  1.101966
 Mean for ROI 5, contrast 18 is -0.396205, st dev is  0.964816
 Mean for ROI 5, contrast 19 is -0.159920, st dev is  0.926427
 Mean for ROI 6, contrast 0 is -0.478942, st dev is  1.011515
 Mean for ROI 6, contrast 1 is 0.027951, st dev is  0.947803
 Mean for ROI 6, contrast 2 is 0.044084, st dev is  0.961460
 Mean for ROI 6, contrast 3 is -0.068026, st dev is  0.898913
 Mean for ROI 6, contrast 4 is -0.416673, st dev is  0.845500
 Mean for ROI 6, contrast 5 is -0.292900, st dev is  1.006631
 Mean for ROI 6, contrast 6 is -0.184689, st dev is  0.855080
 Mean for ROI 6, contrast 7 is -0.093611, st dev is  0.844074
 Mean for ROI 6, contrast 8 is -0.304414, st dev is  0.554391
 Mean for ROI 6, contrast 9 is 0.248871, st dev is  0.725885
 Mean for ROI 6, contrast 10 is 0.024445, st dev is  0.620452
 Mean for ROI 6, contrast 11 is 0.280136, st dev is  0.746811
 Mean for ROI 6, contrast 12 is 0.194028, st dev is  0.670411
 Mean for ROI 6, contrast 13 is -0.061641, st dev is  0.981099
 Mean for ROI 6, contrast 14 is -0.648429, st dev is  0.672158
 Mean for ROI 6, contrast 15 is -0.178389, st dev is  0.705420
 Mean for ROI 6, contrast 16 is 0.273266, st dev is  0.688125
 Mean for ROI 6, contrast 17 is 0.769153, st dev is  0.819459
 Mean for ROI 6, contrast 18 is 0.271289, st dev is  0.720442
 Mean for ROI 6, contrast 19 is 0.011069, st dev is  0.700620
 Mean for ROI 7, contrast 0 is 6.522452, st dev is  2.205528
 Mean for ROI 7, contrast 1 is 4.656442, st dev is  2.095555
 Mean for ROI 7, contrast 2 is 4.736206, st dev is  1.669851
 Mean for ROI 7, contrast 3 is 4.591422, st dev is  1.796722
 Mean for ROI 7, contrast 4 is 4.350952, st dev is  1.749602
 Mean for ROI 7, contrast 5 is 4.525837, st dev is  1.960842
 Mean for ROI 7, contrast 6 is 3.742873, st dev is  1.623265
 Mean for ROI 7, contrast 7 is 4.233230, st dev is  1.633984
 Mean for ROI 7, contrast 8 is 3.165949, st dev is  1.115556
 Mean for ROI 7, contrast 9 is 0.414498, st dev is  1.215400
 Mean for ROI 7, contrast 10 is -0.185393, st dev is  1.246972
 Mean for ROI 7, contrast 11 is 0.332662, st dev is  1.174400
 Mean for ROI 7, contrast 12 is 0.388829, st dev is  1.216746
 Mean for ROI 7, contrast 13 is 0.426919, st dev is  1.323699
 Mean for ROI 7, contrast 14 is 0.794918, st dev is  1.048780
 Mean for ROI 7, contrast 15 is -0.800352, st dev is  0.971685
 Mean for ROI 7, contrast 16 is 2.959602, st dev is  1.864538
 Mean for ROI 7, contrast 17 is 3.320306, st dev is  1.839024
 Mean for ROI 7, contrast 18 is 1.610340, st dev is  1.261779
 Mean for ROI 7, contrast 19 is 1.563813, st dev is  1.372722
 Mean for ROI 8, contrast 0 is 2.979409, st dev is  1.861743
 Mean for ROI 8, contrast 1 is 1.543343, st dev is  1.457074
 Mean for ROI 8, contrast 2 is 1.858709, st dev is  1.450290
 Mean for ROI 8, contrast 3 is 1.896387, st dev is  1.340733
 Mean for ROI 8, contrast 4 is 1.869591, st dev is  1.324880
 Mean for ROI 8, contrast 5 is 1.695318, st dev is  1.432576
 Mean for ROI 8, contrast 6 is 1.207747, st dev is  1.165351
